MAE,MAE_normalized,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_depth,min_data_in_leaf,min_gain_to_split,n_estimators,num_leaves,subsample,train_all_previous,target_quantile,remove_overlap_chunks
2.062831886650456,2.062831886650456,0.05,0.6,0.9,0.02,16,20,0.01,2500,18,0.4,False,True,False
2.0484314057636066,2.0484314057636066,0.025,0.4,0.1,0.01,16,100,0.01,2500,16,0.8,True,True,False
2.0618690584363857,2.0618690584363857,0.05,0.9,0.1,0.02,16,5,0.0,2500,12,0.8,False,True,False
2.080459495870556,2.080459495870556,0.15,0.0,0.6,0.005,-1,40,0.0,2000,22,0.4,False,True,False
2.057830224220483,2.057830224220483,0.05,0.0,0.4,0.01,16,60,0.001,2500,18,0.6,True,True,False
2.0835507742430655,2.0835507742430655,0.1,0.0,0.0,0.005,8,10,0.1,1500,14,0.8,False,True,False
2.075268823095243,2.075268823095243,0.15,0.4,0.2,0.005,-1,40,0.1,2500,18,1.0,True,True,False
2.078514246593411,2.078514246593411,0.15,0.2,0.0,0.01,-1,60,0.001,2000,12,0.4,True,True,False
2.0473152238851284,2.0473152238851284,0.025,0.0,0.9,0.01,16,60,0.01,2500,16,1.0,True,True,False
2.0846413530396672,2.0846413530396672,0.15,0.2,0.0,0.005,16,40,0.0,2500,10,0.8,False,True,False
2.0759285138039716,2.0759285138039716,0.1,0.0,0.2,0.02,16,5,0.0,1500,18,0.8,False,True,False
2.059424640227561,2.059424640227561,0.05,0.1,0.1,0.02,12,60,0.01,2000,14,0.4,True,True,False
2.0639103482853014,2.0639103482853014,0.05,0.6,0.2,0.02,12,40,0.1,2500,22,0.4,False,True,False
2.0867668720703993,2.0867668720703993,0.15,0.4,0.2,0.005,-1,5,0.01,2500,12,0.8,False,True,False
2.081689410482268,2.081689410482268,0.1,0.0,0.4,0.005,-1,10,0.1,2500,12,0.6,False,True,False
2.085906349097164,2.085906349097164,0.15,0.9,0.4,0.02,12,10,0.0,2000,16,0.8,False,True,False
2.068862228214325,2.068862228214325,0.1,0.0,0.6,0.005,8,40,0.1,2500,20,0.6,True,True,False
2.054458006230812,2.054458006230812,0.025,0.0,0.4,0.005,8,100,0.0,2000,20,0.8,False,True,False
2.0622947984888547,2.0622947984888547,0.05,0.0,0.6,0.01,-1,10,0.0,2500,10,0.4,True,True,False
2.0559532270239678,2.0559532270239678,0.025,0.9,0.1,0.005,16,20,0.0,2500,14,1.0,False,True,False
2.079249581696904,2.079249581696904,0.15,0.0,0.2,0.01,16,80,0.01,1500,16,0.8,False,True,False
2.058342470918796,2.058342470918796,0.05,0.2,0.0,0.02,-1,80,0.0,2500,14,0.6,True,True,False
2.0796294757492024,2.0796294757492024,0.15,0.6,0.0,0.01,12,40,0.1,2000,20,1.0,False,True,False
2.0575239346649448,2.0575239346649448,0.025,0.1,0.0,0.005,12,40,0.0,1500,14,0.4,False,True,False
2.0470830067740358,2.0470830067740358,0.025,0.4,0.9,0.005,8,80,0.001,2000,20,0.8,True,True,False
2.078719717149954,2.078719717149954,0.15,0.4,0.9,0.02,12,20,0.01,1500,14,0.6,True,True,False
2.062273467198607,2.062273467198607,0.05,0.1,0.4,0.02,16,20,0.0,2500,16,0.4,False,True,False
