MAE,MAE_normalized,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_depth,min_data_in_leaf,min_gain_to_split,n_estimators,num_leaves,subsample,train_all_previous,target_quantile,remove_overlap_chunks
2.1126049715,2.1126049715,0.8,0.9,0.2,0.0025,12,60,0.001,1500,12,0.8,True,True,False
2.1204618676,2.1204618676,0.9,0.2,0.2,0.005,8,100,0,1000,12,0.7,False,True,False
2.1153676859,2.1153676859,0.8,0,0.9,0.005,12,10,0,1500,8,0.6,False,True,False
2.4311573559,2.2650411412,0.9,0.6,0.6,0.0025,12,100,0.1,1500,18,0.6,False,False,False
2.3049027268,2.1705012418,1,0.1,0.6,0.01,12,60,0.1,1000,12,0.7,True,False,False
2.2295224641,2.2295224641,0.8,0.9,0.2,0.0025,6,60,0,500,8,0.8,False,True,False
2.1183481595,2.1183481595,0.9,0.4,0.6,0.005,16,60,0.001,1000,14,0.9,False,True,False
2.1279749681,2.1279749681,0.9,0.6,0.1,0.0025,16,20,0.1,1000,16,0.9,True,True,False
2.0866604255,2.0866604255,0.8,0.2,0.4,0.01,12,60,0.1,1500,12,0.6,True,True,False
2.148357253,2.148357253,1,0.4,0,0.0025,6,10,0.001,1000,14,1,False,True,False
2.449653917,2.2774347773,0.8,0.2,0.6,0.005,6,10,0,1500,12,1,False,False,False
2.2024049039,2.2024049039,0.8,0.1,0.2,0.0025,12,100,0.001,500,12,1,True,True,False
2.1054130847,2.1054130847,0.8,0.1,0.6,0.005,-1,60,0.001,1000,12,0.7,True,True,False
2.4277989557,2.2739397737,1,0.2,0.1,0.0025,8,10,0,1000,14,0.9,False,False,False
2.1473705378,2.1473705378,1,0.6,0.1,0.0025,6,60,0.001,1000,14,0.8,False,True,False
2.429141585,2.2756777364,1,0.1,0.6,0.005,8,10,0.01,500,14,0.9,False,False,False
2.0838101666,2.0838101666,0.8,0.9,0.9,0.01,-1,10,0.001,1500,16,0.8,True,True,False
2.1230949515,2.1230949515,0.9,0.9,0.2,0.01,6,100,0.1,500,12,0.6,False,True,False
2.2539466771,2.1466314317,0.8,0.2,0.9,0.01,8,10,0,500,8,0.7,True,False,False
2.1233848556,2.1233848556,0.8,0.2,0.4,0.0025,12,10,0.1,1500,18,0.9,False,True,False
2.12886242,2.12886242,1,0,0.6,0.005,16,10,0,500,18,0.7,True,True,False
2.1494082374,2.1494082374,0.9,0.2,0.9,0.0025,12,100,0.01,1000,8,0.8,False,True,False
2.4417052264,2.2657455402,0.8,0.4,0.4,0.01,16,40,0,1000,16,0.8,False,False,False
2.4500844228,2.3106655746,0.9,0.1,0.1,0.0025,12,20,0.1,500,16,0.9,False,False,False
2.2100897263,2.2100897263,0.8,0.9,0.9,0.0025,12,100,0.1,500,8,1,True,True,False
2.1197428683,2.1197428683,0.8,0.9,0.9,0.0025,16,40,0,1500,18,0.6,False,True,False
2.4356660193,2.2655892312,0.8,0.4,0.4,0.005,12,100,0.01,1000,18,0.7,False,False,False
2.1136122038,2.1136122038,1,0,0.1,0.01,6,20,0.1,1000,14,0.8,False,True,False
2.456418503,2.282691392,0.9,0.1,0.9,0.01,6,20,0.01,1500,12,0.8,False,False,False
2.1066167882,2.1066167882,0.8,0.2,0.2,0.01,12,20,0.001,1000,16,0.9,False,True,False
2.4345888506,2.2785602711,0.9,0.1,0,0.005,8,40,0.1,1000,8,0.6,False,False,False
