MAE,MAE_normalized,encoding_dropout,encoding_input_dropout,encoding_layers,gru_dropout,initial_lr,prediction_layers,recurrent_cells,reduce_lr_patience,relu_last_encoding_layer,train_last_part_loss_frac,train_all_previous,target_quantile
2.1013678839576087,2.1013678839576087,0.1,0.15,"[32, 32]",0.5,0.0003,[8],"[64, 32]",3,True,0.1,True,True
2.615766999797372,2.615766999797372,0.2,0.15,[32],0.5,0.0001,"[32, 16]","[32, 16]",1,True,0.4,False,True
2.332454790586441,2.332454790586441,0.0,0.0,[32],0.5,0.0001,[32],[8],1,True,0.1,True,True
2.1132825904297734,2.1132825904297734,0.1,0.15,"[32, 32]",0.5,0.0003,[8],"[64, 32]",3,True,0.1,True,True
2.614875206928029,2.614875206928029,0.2,0.15,[32],0.5,0.0001,"[32, 16]","[32, 16]",1,True,0.4,False,True
2.1197360514192187,2.1197360514192187,0.3,0.3,[32],0.25,0.0001,[8],"[64, 32]",1,True,0.1,True,True
2.0441494265803146,2.0441494265803146,0.1,0.15,"[32, 32]",0.25,0.0001,[],"[32, 16]",3,True,0.2,False,True
2.1250915821001013,2.1250915821001013,0.3,0.3,[32],0.25,0.0001,[8],"[64, 32]",1,True,0.1,True,True
2.0581156302649704,2.0581156302649704,0.1,0.15,"[32, 32]",0.25,0.0001,[],"[32, 16]",3,True,0.2,False,True
2.1014304347056387,2.1014304347056387,0.3,0.0,[32],0.0,5e-05,[],[8],3,True,0.4,True,True
2.159140288692606,2.159140288692606,0.1,0.0,[32],0.5,5e-05,[],"[16, 16, 16]",3,True,0.1,True,True
2.362463019923076,2.362463019923076,0.2,0.0,[32],0.5,5e-05,[32],"[32, 16]",1,True,0.2,False,True
2.08512824103002,2.08512824103002,0.3,0.15,[32],0.0,0.0001,"[8, 8]","[16, 16, 16]",1,True,0.1,True,True
2.107516331001729,2.107516331001729,0.3,0.15,"[32, 32]",0.25,0.0001,"[8, 8]","[32, 16]",3,True,0.4,True,True
2.6189566169019516,2.6189566169019516,0.0,0.3,[32],0.5,5e-05,[32],"[32, 16]",3,True,0.2,True,True
2.1672310913586568,2.1672310913586568,0.0,0.3,"[32, 32]",0.25,5e-05,[32],"[8, 8]",3,True,0.2,True,True
