MAE,MAE_normalized,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_depth,min_data_in_leaf,min_gain_to_split,n_estimators,num_leaves,subsample,train_all_previous,target_quantile,remove_overlap_chunks
2.0446172383877466,2.0446172383877466,0.003,0.6,0.0,0.02,16,100,0.001,5000,20,0.8,False,True,False
2.036420502913275,2.036420502913275,0.003,0.4,0.2,0.01,16,100,0.0,3000,14,0.6,True,True,False
2.0553441386300415,2.0553441386300415,0.001,0.9,0.9,0.005,8,80,0.01,2000,10,0.4,True,True,False
2.0406815284581654,2.0406815284581654,0.01,0.2,0.0,0.01,8,20,0.1,3000,18,0.4,True,True,False
2.040079495045202,2.040079495045202,0.003,0.9,0.0,0.02,12,60,0.001,5000,16,1.0,True,True,False
2.0578375442606287,2.0578375442606287,0.001,0.0,0.0,0.01,-1,10,0.0,3000,10,0.6,False,True,False
2.041853779262827,2.041853779262827,0.003,0.9,0.4,0.02,-1,20,0.1,3000,16,1.0,True,True,False
2.053419355872542,2.053419355872542,0.001,0.4,0.2,0.005,-1,60,0.1,3000,20,0.6,True,True,False
2.0399972662073966,2.0399972662073966,0.01,0.9,0.0,0.01,-1,60,0.01,2000,14,0.8,True,True,False
2.045561830153291,2.045561830153291,0.003,0.1,0.6,0.02,-1,10,0.1,5000,10,0.4,False,True,False
2.047538590065401,2.047538590065401,0.01,0.0,0.2,0.02,16,10,0.01,5000,10,0.8,False,True,False
2.0541806037768846,2.0541806037768846,0.001,0.0,0.1,0.01,12,20,0.01,5000,18,0.6,True,True,False
2.0441265466767464,2.0441265466767464,0.01,0.2,0.9,0.02,16,10,0.001,5000,16,0.6,True,True,False
2.0518271811528086,2.0518271811528086,0.001,0.6,0.4,0.01,-1,80,0.0,3000,22,1.0,True,True,False
2.0675811999006584,2.0675811999006584,0.001,0.0,0.2,0.005,-1,20,0.001,2000,16,0.8,False,True,False
2.045062442837765,2.045062442837765,0.003,0.0,0.0,0.02,-1,40,0.1,3000,12,0.6,False,True,False
2.040192912345881,2.040192912345881,0.01,0.1,0.9,0.005,8,20,0.001,5000,18,0.8,True,True,False
2.044519038027313,2.044519038027313,0.01,0.4,0.2,0.005,8,40,0.0,3000,16,0.4,False,True,False
2.058392282686613,2.058392282686613,0.001,0.1,0.9,0.005,-1,10,0.01,5000,18,0.6,False,True,False
2.0415677906909195,2.0415677906909195,0.003,0.4,0.4,0.02,16,60,0.0,5000,12,0.4,True,True,False
2.052687283493748,2.052687283493748,0.001,0.1,0.6,0.005,-1,100,0.0,3000,16,1.0,True,True,False
2.0411536208350376,2.0411536208350376,0.01,0.2,0.9,0.01,12,10,0.01,2000,18,0.8,True,True,False
2.0385813473297856,2.0385813473297856,0.01,0.0,0.9,0.01,16,60,0.1,5000,20,1.0,True,True,False
2.045367077002431,2.045367077002431,0.01,0.4,0.0,0.01,12,100,0.1,2000,22,0.4,False,True,False
2.0572241649729097,2.0572241649729097,0.001,0.0,0.2,0.005,16,20,0.0,3000,22,0.6,True,True,False
2.0476522295883437,2.0476522295883437,0.01,0.9,0.1,0.02,-1,10,0.001,2000,20,0.8,False,True,False
2.0436610235925468,2.0436610235925468,0.003,0.6,0.0,0.01,16,40,0.01,2000,10,1.0,False,True,False
2.0509721776499323,2.0509721776499323,0.001,0.2,0.1,0.01,8,60,0.0,5000,20,0.4,True,True,False
2.0530499051850972,2.0530499051850972,0.001,0.9,0.2,0.01,12,40,0.001,5000,18,0.4,False,True,False
2.0443775177781784,2.0443775177781784,0.01,0.1,0.6,0.01,12,40,0.1,5000,14,0.8,False,True,False
