MAE,MAE_normalized,encoding_dropout,encoding_input_dropout,encoding_layers,gru_dropout,initial_lr,prediction_layers,recurrent_cells,reduce_lr_patience,relu_last_encoding_layer,train_last_part_loss_frac,train_all_previous,target_quantile
2.199200788453568,2.199200788453568,0.2,0.15,[32],0.25,0.0003,[32],"[64, 32]",1,True,0.2,True,True
2.119903172886282,2.119903172886282,0.1,0.15,"[32, 32]",0.0,0.0001,[8],[8],3,True,0.2,True,True
2.230064079305234,2.230064079305234,0.0,0.15,[32],0.25,0.0003,[8],"[16, 16, 16]",1,True,0.4,True,True
2.0886148697744864,2.0886148697744864,0.0,0.3,"[32, 32]",0.0,0.0003,[],"[64, 32]",1,True,0.1,True,True
2.1023877003353553,2.1023877003353553,0.3,0.3,[32],0.0,0.0001,[],"[32, 16]",1,True,0.2,True,True
2.1390094116911826,2.1390094116911826,0.3,0.3,[32],0.25,5e-05,"[8, 8]",[8],1,True,0.1,False,True
2.159561187252281,2.159561187252281,0.3,0.15,[32],0.25,0.0001,"[8, 8]","[8, 8]",3,True,0.1,True,True
2.18279060523275,2.18279060523275,0.0,0.0,"[32, 32]",0.25,0.0003,[],"[64, 32]",3,True,0.2,True,True
2.08439405869171,2.08439405869171,0.3,0.15,[32],0.0,0.0001,"[8, 8]","[8, 8]",3,True,0.2,True,True
2.1807410934103757,2.1807410934103757,0.1,0.0,"[32, 32]",0.25,0.0001,[32],[8],1,True,0.4,False,True
2.1403007316682867,2.1403007316682867,0.1,0.3,[32],0.0,0.0001,[8],[32],1,True,0.2,True,True
2.2110021525239083,2.2110021525239083,0.1,0.15,[32],0.25,0.0001,[32],[8],1,True,0.2,True,True
2.0695029320728757,2.0695029320728757,0.3,0.0,[32],0.0,0.0001,[8],"[16, 16, 16]",3,True,0.2,False,True
2.1164000254177497,2.1164000254177497,0.3,0.3,[32],0.0,5e-05,[32],"[8, 8]",3,True,0.2,True,True
2.0609704443003265,2.0609704443003265,0.1,0.0,[32],0.0,5e-05,[],[32],3,True,0.1,False,True
2.1178033048502263,2.1178033048502263,0.3,0.15,[32],0.25,0.0001,[],"[64, 32]",3,True,0.2,False,True
2.0988000433645526,2.0988000433645526,0.1,0.0,"[32, 32]",0.0,5e-05,[8],[8],1,True,0.1,True,True
2.0961166734530154,2.0961166734530154,0.3,0.3,"[32, 32]",0.0,0.0003,[32],"[32, 16]",3,True,0.4,False,True
2.157137742063172,2.157137742063172,0.0,0.0,"[32, 32]",0.25,0.0001,"[8, 8]","[64, 32]",1,True,0.4,True,True
2.147655905121537,2.147655905121537,0.1,0.3,"[32, 32]",0.0,0.0001,"[8, 8]",[8],3,True,0.1,False,True
2.0973670744966633,2.0973670744966633,0.3,0.3,[32],0.0,0.0001,"[8, 8]","[8, 8]",3,True,0.2,True,True
2.0919768327930415,2.0919768327930415,0.1,0.0,[32],0.0,5e-05,[],"[64, 32]",1,True,0.2,True,True
2.0969643850873854,2.0969643850873854,0.3,0.0,[32],0.0,0.0001,[8],[32],3,True,0.1,True,True
2.1504796341360986,2.1504796341360986,0.2,0.0,"[32, 32]",0.25,0.0001,"[8, 8]","[32, 16]",1,True,0.1,True,True
2.0882945917956466,2.0882945917956466,0.1,0.15,[32],0.0,0.0001,[],"[64, 32]",3,True,0.2,False,True
2.0895583627013123,2.0895583627013123,0.2,0.3,[32],0.0,0.0003,[8],"[8, 8]",3,True,0.4,False,True
2.1052307747029704,2.1052307747029704,0.3,0.15,"[32, 32]",0.0,0.0003,[32],"[8, 8]",3,True,0.4,True,True
2.0831054759412484,2.0831054759412484,0.2,0.0,[32],0.0,0.0001,[],[8],1,True,0.2,False,True
2.089688591243825,2.089688591243825,0.0,0.0,[32],0.0,0.0001,[],"[64, 32]",3,True,0.2,False,True
2.0774716904376893,2.0774716904376893,0.1,0.3,[32],0.0,0.0001,[],"[64, 32]",1,True,0.2,False,True
2.1578779206169916,2.1578779206169916,0.3,0.15,[32],0.25,0.0001,[],[32],3,True,0.1,True,True
2.070168865395469,2.070168865395469,0.0,0.15,"[32, 32]",0.25,0.0003,[],"[32, 16]",3,True,0.4,False,True
2.0551305086650156,2.0551305086650156,0.2,0.3,"[32, 32]",0.25,0.0003,[],[32],1,True,0.4,False,True
2.1247668198725647,2.1247668198725647,0.3,0.3,"[32, 32]",0.0,5e-05,"[8, 8]","[16, 16, 16]",3,True,0.1,True,True
2.081484870986934,2.081484870986934,0.0,0.0,[32],0.0,0.0001,[8],[32],1,True,0.1,False,True
2.0838950829675746,2.0838950829675746,0.1,0.0,"[32, 32]",0.0,5e-05,[32],[8],1,True,0.1,False,True
2.115951482013114,2.115951482013114,0.0,0.0,"[32, 32]",0.25,0.0001,"[8, 8]",[32],1,True,0.4,True,True
2.143904981288465,2.143904981288465,0.3,0.3,"[32, 32]",0.0,5e-05,[32],"[32, 16]",1,True,0.1,False,True
2.125038224181506,2.125038224181506,0.2,0.15,"[32, 32]",0.0,0.0001,[],[8],3,True,0.2,True,True
2.0745692918260286,2.0745692918260286,0.3,0.15,"[32, 32]",0.25,0.0001,[],[32],1,True,0.2,True,True
2.075406427304366,2.075406427304366,0.1,0.3,"[32, 32]",0.25,0.0003,"[8, 8]","[8, 8]",1,True,0.1,True,True
2.0919352028260785,2.0919352028260785,0.2,0.15,[32],0.0,0.0001,[8],"[64, 32]",3,True,0.2,True,True
2.0655963538520554,2.0655963538520554,0.0,0.15,[32],0.0,5e-05,"[8, 8]","[16, 16, 16]",3,True,0.4,False,True
2.081544877729626,2.081544877729626,0.1,0.0,"[32, 32]",0.25,0.0001,[],"[32, 16]",1,True,0.4,False,True
2.1142304261333047,2.1142304261333047,0.0,0.3,[32],0.0,5e-05,[32],"[16, 16, 16]",1,True,0.2,True,True
2.0567761387495263,2.0567761387495263,0.3,0.0,[32],0.25,5e-05,[8],"[64, 32]",1,True,0.4,False,True
2.2247685459297903,2.2247685459297903,0.0,0.3,[32],0.25,5e-05,[32],"[8, 8]",3,True,0.1,False,True
2.0859609171050644,2.0859609171050644,0.3,0.15,[32],0.0,5e-05,"[8, 8]","[8, 8]",3,True,0.1,False,True
2.3065674397562406,2.3065674397562406,0.0,0.15,"[32, 32]",0.0,0.0003,[8],[32],1,True,0.2,True,True
2.0643113593522937,2.0643113593522937,0.0,0.15,[32],0.0,5e-05,[],"[32, 16]",3,True,0.4,False,True
2.095417939010722,2.095417939010722,0.2,0.15,"[32, 32]",0.0,0.0003,[32],"[64, 32]",1,True,0.2,True,True
2.157706122649319,2.157706122649319,0.3,0.15,"[32, 32]",0.0,5e-05,[32],[32],3,True,0.4,True,True
2.1289195100851304,2.1289195100851304,0.3,0.15,"[32, 32]",0.25,5e-05,[32],[32],1,True,0.4,False,True
2.1265384010454955,2.1265384010454955,0.2,0.0,"[32, 32]",0.25,5e-05,[],"[8, 8]",1,True,0.2,True,True
2.1057556111195206,2.1057556111195206,0.2,0.3,"[32, 32]",0.25,0.0003,[],"[64, 32]",1,True,0.2,False,True
2.094644749097498,2.094644749097498,0.2,0.15,"[32, 32]",0.0,0.0003,[8],"[8, 8]",1,True,0.2,False,True
2.1175909948530967,2.1175909948530967,0.1,0.3,"[32, 32]",0.25,0.0003,"[8, 8]",[32],3,True,0.1,True,True
2.109666480171813,2.109666480171813,0.2,0.0,[32],0.25,5e-05,"[8, 8]",[8],3,True,0.2,False,True
2.0815759207642417,2.0815759207642417,0.3,0.3,"[32, 32]",0.25,0.0001,"[8, 8]","[64, 32]",3,True,0.2,True,True
